,uniqueID,Date,Voter File Match,Registered Voter (of Voter File Matches),weight,Q1. Health Quality,age,DEMOGRAPHICS - GENDER,Q4. Number of People in HH,Q5. Children in HH,Q6. Non-HH Face to Face Count,Q7. Six Feet Away? (If Q6 > 0),Q8. HH Member Going to Work,Q9. Children Interacting with Other Children ,Q10. Times in Group > 20 in Last Week,Family,Friends,Co-workers,"Clients, patients, or patrons",Any other type of person not already mentioned,Q12. Handwashing Count,Q13. Currently Practicing Social Distancing?,Q14. Currently Experiencing Symptoms?,Q15. Likelihood of getting Coronavirus,Q16. NC Response to Coronavirus,Q17. Changes to Routine ,Q18. College Degree,Q19. Latino,Q20. Race,Q21. Panel Willingness,Q19-20. Race + Ethnicity,Survey Mode,DEMOGRAPHICS - RACE ON FILE,MEDIA MARKET,PARTY,TURNOUT,DEMOGRAPHICS - PARTY ON FILE,tax_score,CHOICE,CHURCH ATTENDANCE,CLIMATE CHANGE PRIORITY,COLLEGE,GUN CONTROL,GUN OWNER,PROGRESSIVE GUN OWNER,tv_cable,tv_satellite,tv_broadcast,cellphone_score,commercial_party,MARIJUANA,low_tv,trump_approve_score,retired_score,county_name,Completed Survey,week,Panel Respondent,week1,week2,full_sample,close_interactions,any_close_interactions,ever_in_group,someone_working,race
2989,2901,2020-04-06,Yes,Yes,0.226796,Good,77,Female,2.0,None,1.0,1.0,No,,0.0,No,No,No,No,No,5.0,Yes,No,No,Most are underestimating the risks,Large changes,No,No,White,Yes,White,IVR,Caucasian,545.0,5.0,5.0,Democrat,3.0,1.0,5.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,5.0,LENOIR,True,week2,No,False,True,1,0.0,0.0,0.0,0.0,White
2990,2902,2020-04-06,Yes,Yes,0.655998,Very Good,72,Male,2.0,None,0.0,,No,,0.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,No,White,No,White,IVR,Caucasian,560.0,5.0,5.0,Democrat,4.0,5.0,2.0,4.0,5.0,5.0,2.0,2.0,3.0,1.0,1.0,1.0,5.0,5.0,2.0,1.0,4.0,ORANGE,True,week2,No,False,True,1,0.0,0.0,0.0,0.0,White
2991,2903,2020-04-06,Yes,Yes,0.20422200000000001,Good,88,Female,3.0,None,,,,,,,,,,,,,,,,,,,,0,White,IVR,Caucasian,518.0,1.0,5.0,Republican,2.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,GUILFORD,False,week2,No,False,True,1,,,,,White
2992,2904,2020-04-06,Yes,Yes,0.24907800000000002,Good,81,Male,1.0,None,1.0,1.0,Yes,,1.0,No,No,No,No,Yes,7.0,Yes,No,No,Most are underestimating the risks,Large changes,No,No,Black,Yes,Black,IVR,Caucasian,560.0,5.0,5.0,Democrat,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,1.0,1.0,4.0,2.0,1.0,2.0,4.0,HALIFAX,True,week2,No,False,True,1,0.0,0.0,1.0,1.0,Black
2993,2905,2020-04-06,Yes,Yes,1.42852,Good,59,Female,3.0,None,9.0,0.0,Yes,,0.0,Yes,Yes,Yes,Yes,No,8.0,Yes,No,Yes,Most are underestimating the risks,Large changes,Yes,No,White,No,White,IVR,Caucasian,518.0,3.0,5.0,Other / Unaffiliated,3.0,3.0,3.0,1.0,5.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,ALAMANCE,True,week2,No,False,True,1,,,0.0,1.0,White
2994,2906,2020-04-06,Yes,Yes,0.18874000000000002,Very Good,83,Female,2.0,None,0.0,,Unsure,,0.0,No,No,No,No,No,9.0,Yes,No,Unsure,Most are reacting appropriately,Unsure,No,No,Black,No,Black,IVR,Black,560.0,5.0,5.0,Democrat,5.0,4.0,3.0,3.0,3.0,5.0,2.0,2.0,4.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,4.0,ORANGE,True,week2,No,False,True,1,0.0,0.0,0.0,,Black
2995,2907,2020-04-06,Yes,Yes,0.18874000000000002,Very Good,77,Female,6.0,Two,0.0,,No,No,0.0,No,Yes,Yes,Yes,Yes,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,Black,Yes,Black,IVR,Black,560.0,5.0,5.0,Democrat,5.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,3.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,5.0,WAKE,True,week2,No,False,True,1,0.0,0.0,0.0,0.0,Black
2996,2908,2020-04-06,Yes,Yes,0.178311,Good,68,Female,2.0,None,0.0,,No,,0.0,No,,,,,,,,,,,,,,0,White,IVR,Caucasian,560.0,1.0,5.0,Other / Unaffiliated,2.0,2.0,3.0,1.0,2.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,5.0,5.0,WAKE,False,week2,No,False,True,1,0.0,0.0,0.0,0.0,White
2997,2909,2020-04-06,Yes,Yes,0.226796,Good,65,Female,3.0,None,9.0,9.0,No,,3.0,Yes,,,,,9.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,No,No,White,No,White,IVR,Caucasian,544.0,5.0,5.0,Democrat,3.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,1.0,1.0,5.0,4.0,1.0,2.0,3.0,CAMDEN,True,week2,No,False,True,1,,,1.0,0.0,White
2998,924,2020-04-06,Yes,Yes,1.80325,Fair,50,Female,2.0,None,4.0,2.0,Yes,,,,,,,,,,,,,,,,,0,Black,IVR,Black,517.0,5.0,5.0,Democrat,3.0,4.0,4.0,3.0,4.0,5.0,2.0,2.0,4.0,2.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,MECKLENBURG,False,week2,Yes,False,True,1,2.0,1.0,,1.0,Black
