,uniqueID,Date,Voter File Match,Registered Voter (of Voter File Matches),weight,Q1. Health Quality,age,DEMOGRAPHICS - GENDER,Q4. Number of People in HH,Q5. Children in HH,Q6. Non-HH Face to Face Count,Q7. Six Feet Away? (If Q6 > 0),Q8. HH Member Going to Work,Q9. Children Interacting with Other Children ,Q10. Times in Group > 20 in Last Week,Family,Friends,Co-workers,"Clients, patients, or patrons",Any other type of person not already mentioned,Q12. Handwashing Count,Q13. Currently Practicing Social Distancing?,Q14. Currently Experiencing Symptoms?,Q15. Likelihood of getting Coronavirus,Q16. NC Response to Coronavirus,Q17. Changes to Routine ,Q18. College Degree,Q19. Latino,Q20. Race,Q21. Panel Willingness,Q19-20. Race + Ethnicity,Survey Mode,DEMOGRAPHICS - RACE ON FILE,MEDIA MARKET,PARTY,TURNOUT,DEMOGRAPHICS - PARTY ON FILE,tax_score,CHOICE,CHURCH ATTENDANCE,CLIMATE CHANGE PRIORITY,COLLEGE,GUN CONTROL,GUN OWNER,PROGRESSIVE GUN OWNER,tv_cable,tv_satellite,tv_broadcast,cellphone_score,commercial_party,MARIJUANA,low_tv,trump_approve_score,retired_score,county_name
576,577,2020-03-30,Yes,Yes,0.803796,Very Good,72,Female,2.0,None,2.0,1.0,No,,1.0,No,Yes,No,No,No,9.0,Yes,No,No,Most are underestimating the risks,Small changes,Yes,No,Black,Yes,Black,IVR,Black,560.0,5.0,5.0,Democrat,5.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,4.0,DURHAM
577,578,2020-03-30,Yes,Yes,0.300578,Good,66,Male,2.0,None,1.0,1.0,Yes,,0.0,Yes,,Yes,Yes,,7.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,Caucasian,545.0,1.0,5.0,Republican,2.0,2.0,4.0,1.0,2.0,1.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,5.0,4.0,BEAUFORT
580,581,2020-03-30,Yes,Yes,0.35972800000000005,Very Good,66,Male,2.0,None,0.0,,Yes,,1.0,Yes,No,No,No,Yes,8.0,Yes,No,No,Most are underestimating the risks,Large changes,No,No,Black,Yes,Black,IVR,Black,517.0,5.0,4.0,Other / Unaffiliated,3.0,3.0,4.0,2.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,5.0,4.0,1.0,1.0,4.0,MECKLENBURG
581,582,2020-03-30,Yes,Yes,1.20218,Good,60,Female,2.0,None,9.0,1.0,No,,1.0,No,No,No,No,No,9.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,No,Black,No,Black,IVR,Black,560.0,5.0,5.0,Other / Unaffiliated,3.0,3.0,4.0,2.0,4.0,2.0,5.0,2.0,4.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,2.0,CUMBERLAND
582,583,2020-03-30,Yes,Yes,0.271379,Good,67,Female,1.0,None,0.0,,No,,0.0,No,No,No,No,No,9.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,No,No,White,0,White,IVR,Caucasian,567.0,1.0,5.0,Republican,3.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,3.0,HENDERSON
583,584,2020-03-30,Yes,Yes,0.31645,Very Good,74,Male,1.0,None,5.0,5.0,No,,,,5,,,,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,Black,Yes,Black,IVR,Black,560.0,5.0,5.0,Democrat,3.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,5.0,WAYNE
585,586,2020-03-30,Yes,Yes,0.271379,Good,80,Female,1.0,None,1.0,1.0,No,,0.0,No,Yes,No,No,No,1.0,Yes,No,Unsure,Most are reacting appropriately,Small changes,No,No,White,Yes,White,IVR,Caucasian,545.0,4.0,5.0,Other / Unaffiliated,5.0,3.0,3.0,2.0,1.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,5.0,ONSLOW
586,587,2020-03-30,No,,0.472926,Good,60,Male,5.0,Three or more,3.0,3.0,No,No,9.0,No,Yes,No,No,Yes,6.0,No,No,No,Most are reacting appropriately,No real changes,No,No,White,No,White,IVR,,,,,,,,,,,,,,,,,,,,,,,
587,588,2020-03-30,Yes,Yes,0.405882,Poor,54,Female,2.0,None,0.0,,No,,0.0,Yes,No,No,No,No,9.0,Yes,Yes,No,Most are underestimating the risks,Large changes,No,No,White,Yes,White,IVR,Caucasian,567.0,1.0,4.0,Republican,2.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,5.0,1.0,RUTHERFORD
588,589,2020-03-30,Yes,Yes,0.706546,Good,73,Female,4.0,None,4.0,4.0,Yes,,0.0,Yes,No,No,No,Yes,9.0,Yes,No,Unsure,Most are reacting appropriately,Small changes,Yes,No,White,Yes,White,IVR,Caucasian,560.0,5.0,5.0,Other / Unaffiliated,3.0,5.0,3.0,2.0,5.0,5.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,5.0,WAKE
589,590,2020-03-30,Yes,Yes,1.05102,Good,70,Male,2.0,None,9.0,6.0,Yes,,0.0,Yes,Yes,Yes,Yes,,9.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,518.0,1.0,5.0,Republican,2.0,2.0,4.0,1.0,2.0,1.0,5.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,5.0,3.0,GUILFORD
591,592,2020-03-30,Yes,Yes,0.504467,Very Good,63,Female,3.0,None,2.0,1.0,No,,0.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,No,White,IVR,Caucasian,518.0,1.0,3.0,Republican,3.0,3.0,2.0,1.0,1.0,1.0,5.0,1.0,3.0,2.0,1.0,1.0,3.0,4.0,1.0,4.0,2.0,DAVIDSON
592,593,2020-03-30,Yes,Yes,0.5587449999999999,Good,56,Male,3.0,None,5.0,3.0,Yes,,0.0,Yes,No,Yes,Yes,No,6.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,Caucasian,518.0,1.0,5.0,Other / Unaffiliated,3.0,2.0,4.0,1.0,2.0,1.0,5.0,1.0,4.0,4.0,1.0,1.0,2.0,4.0,1.0,5.0,1.0,RANDOLPH
