,uniqueID,Date,Voter File Match,Registered Voter (of Voter File Matches),weight,Q1. Health Quality,age,DEMOGRAPHICS - GENDER,Q4. Number of People in HH,Q5. Children in HH,Q6. Non-HH Face to Face Count,Q7. Six Feet Away? (If Q6 > 0),Q8. HH Member Going to Work,Q9. Children Interacting with Other Children ,Q10. Times in Group > 20 in Last Week,Family,Friends,Co-workers,"Clients, patients, or patrons",Any other type of person not already mentioned,Q12. Handwashing Count,Q13. Currently Practicing Social Distancing?,Q14. Currently Experiencing Symptoms?,Q15. Likelihood of getting Coronavirus,Q16. NC Response to Coronavirus,Q17. Changes to Routine ,Q18. College Degree,Q19. Latino,Q20. Race,Q21. Panel Willingness,Q19-20. Race + Ethnicity,Survey Mode,DEMOGRAPHICS - RACE ON FILE,MEDIA MARKET,PARTY,TURNOUT,DEMOGRAPHICS - PARTY ON FILE,tax_score,CHOICE,CHURCH ATTENDANCE,CLIMATE CHANGE PRIORITY,COLLEGE,GUN CONTROL,GUN OWNER,PROGRESSIVE GUN OWNER,tv_cable,tv_satellite,tv_broadcast,cellphone_score,commercial_party,MARIJUANA,low_tv,trump_approve_score,retired_score,county_name
861,862,2020-03-31,No,,1.2760200000000002,Very Good,30,Female,4.0,Two,2.0,2.0,Yes,No,0.0,Yes,No,Yes,Yes,Yes,9.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,No,No,Black,Yes,Black,IVR,,,,,,,,,,,,,,,,,,,,,,,
862,863,2020-03-31,Yes,Yes,0.449553,Poor,53,Male,1.0,None,3.0,3.0,No,,0.0,Yes,,,,Yes,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,Caucasian,545.0,1.0,5.0,Other / Unaffiliated,2.0,2.0,3.0,1.0,2.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,BEAUFORT
863,864,2020-03-31,Yes,Yes,1.41924,Very Good,56,Female,4.0,None,3.0,0.0,Yes,,0.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Small changes,Yes,No,White,No,White,IVR,Caucasian,518.0,5.0,5.0,Other / Unaffiliated,3.0,5.0,1.0,4.0,5.0,5.0,2.0,2.0,4.0,2.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,GUILFORD
864,865,2020-03-31,Yes,Yes,1.3305,Fair,58,Male,2.0,None,9.0,2.0,Yes,,1.0,Yes,Yes,Yes,No,No,2.0,Yes,No,Unsure,Most are underestimating the risks,Small changes,Yes,No,White,No,White,IVR,Caucasian,517.0,1.0,5.0,Republican,3.0,2.0,4.0,1.0,3.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,ROWAN
865,866,2020-03-31,Yes,Yes,0.42698500000000006,Very Good,47,Female,5.0,One,1.0,1.0,Yes,No,0.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,No,White,IVR,Caucasian,517.0,1.0,5.0,Republican,2.0,2.0,4.0,1.0,2.0,1.0,5.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,STANLY
866,867,2020-03-31,No,,0.889592,Very Good,99,Male,1.0,None,0.0,,No,,0.0,No,No,No,No,No,9.0,Yes,No,No,Most are overreacting to the actual risks,Small changes,Yes,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,
868,869,2020-03-31,No,,0.35972800000000005,Very Good,70,Male,1.0,None,0.0,,No,,0.0,No,No,No,No,No,5.0,Yes,No,Unsure,Most are reacting appropriately,Small changes,No,No,Black,Yes,Black,IVR,,,,,,,,,,,,,,,,,,,,,,,
869,870,2020-03-31,No,,0.271379,Good,85,Female,2.0,None,9.0,9.0,No,,9.0,No,No,No,No,No,9.0,No,No,No,Most are reacting appropriately,Small changes,No,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,
870,871,2020-03-31,Yes,Yes,1.3315299999999999,Very Good,58,Male,3.0,None,2.0,1.0,Yes,,0.0,Yes,No,No,No,No,5.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,No,Black,Yes,Black,IVR,Black,560.0,5.0,5.0,Democrat,4.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,PERSON
871,872,2020-03-31,Yes,Yes,1.20218,Very Good,57,Female,2.0,None,4.0,1.0,Yes,,0.0,Yes,,3,3,,9.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,No,Black,Yes,Black,IVR,Black,560.0,5.0,5.0,Democrat,3.0,2.0,4.0,2.0,2.0,4.0,3.0,2.0,1.0,4.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,WARREN
872,873,2020-03-31,Yes,Yes,0.42731499999999994,6,57,Female,3.0,None,0.0,,Yes,,0.0,Yes,No,Yes,No,No,9.0,Yes,No,No,Most are underestimating the risks,Large changes,No,No,Black,Yes,Black,IVR,Black,560.0,5.0,5.0,Democrat,3.0,2.0,4.0,3.0,5.0,4.0,3.0,2.0,3.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,WAKE
874,875,2020-03-31,Yes,Yes,0.37561500000000003,Good,49,Female,3.0,One,1.0,1.0,Yes,No,0.0,Yes,No,No,No,Yes,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,Caucasian,560.0,1.0,5.0,Republican,3.0,2.0,4.0,1.0,3.0,1.0,5.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,JOHNSTON
875,876,2020-03-31,Yes,Yes,1.20218,Good,52,Female,4.0,None,0.0,,Yes,,0.0,Yes,No,Yes,No,Yes,8.0,Yes,No,Yes,Most are underestimating the risks,Large changes,Yes,Yes,,Yes,Hispanic or Latino,IVR,Caucasian,560.0,5.0,5.0,Democrat,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,JOHNSTON
877,878,2020-03-31,Yes,Yes,1.14188,Very Good,51,Female,3.0,One,0.0,,Yes,No,0.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,No,White,No,White,IVR,Caucasian,567.0,1.0,5.0,Republican,2.0,2.0,4.0,1.0,2.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,2.0,5.0,1.0,MCDOWELL
878,879,2020-03-31,Yes,Yes,0.42731499999999994,Very Good,56,Female,3.0,None,4.0,3.0,Yes,,1.0,Yes,Yes,No,No,No,9.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,No,No,Another race,Yes,Another race,IVR,Other,560.0,5.0,5.0,Democrat,3.0,2.0,4.0,2.0,2.0,2.0,5.0,2.0,2.0,4.0,1.0,1.0,5.0,2.0,1.0,2.0,1.0,HOKE
879,880,2020-03-31,Yes,Yes,0.504467,Very Good,59,Female,2.0,Three or more,0.0,,No,,0.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,No,White,IVR,Caucasian,518.0,2.0,5.0,Other / Unaffiliated,3.0,1.0,3.0,1.0,2.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,4.0,1.0,ROCKINGHAM
880,881,2020-03-31,Yes,No,0.42698500000000006,Fair,56,Female,1.0,None,0.0,,No,,0.0,No,No,No,No,No,9.0,No,No,No,Most are underestimating the risks,Small changes,No,No,White,Yes,White,IVR,Caucasian,517.0,4.0,,Other / Unaffiliated,,,4.0,,3.0,,,,,,,,,,1.0,2.0,1.0,
881,882,2020-03-31,Yes,Yes,0.472926,Fair,52,Male,2.0,None,9.0,9.0,Yes,,0.0,Yes,No,No,No,No,9.0,Yes,No,Yes,Most are underestimating the risks,Large changes,No,No,White,No,White,IVR,Caucasian,517.0,1.0,5.0,Republican,2.0,1.0,3.0,1.0,2.0,1.0,5.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,ASHE
882,883,2020-03-31,Yes,Yes,0.472926,Good,60,Male,2.0,None,6.0,1.0,Yes,,0.0,Yes,No,Yes,Yes,No,9.0,Yes,No,No,Most are reacting appropriately,Small changes,No,No,White,Yes,White,IVR,Caucasian,517.0,1.0,5.0,Republican,3.0,3.0,4.0,1.0,3.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,MECKLENBURG
884,885,2020-03-31,Yes,Yes,1.29906,Very Good,54,Female,2.0,None,1.0,0.0,Yes,,2.0,No,Yes,Yes,Yes,Yes,6.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,No,Black,No,Black,IVR,Other,545.0,5.0,5.0,Democrat,3.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,PITT
885,886,2020-03-31,Yes,Yes,1.26475,Very Good,54,Male,9.0,None,9.0,2.0,Yes,,0.0,Yes,9,Yes,,,9.0,Yes,No,Unsure,Most are reacting appropriately,Small changes,Yes,No,White,Yes,White,IVR,Caucasian,545.0,1.0,5.0,Other / Unaffiliated,2.0,1.0,4.0,1.0,5.0,1.0,5.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,MARTIN
886,887,2020-03-31,No,,0.300578,Good,79,Male,2.0,None,0.0,,No,,0.0,Yes,No,No,No,No,9.0,Yes,No,Unsure,Most are underestimating the risks,Small changes,No,No,White,No,White,IVR,,,,,,,,,,,,,,,,,,,,,,,
889,890,2020-03-31,No,,0.9620209999999999,Very Good,83,Male,2.0,None,6.0,2.0,Unsure,,1.0,Yes,No,Yes,Yes,Yes,9.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,Yes,,0,Hispanic or Latino,IVR,,,,,,,,,,,,,,,,,,,,,,,
890,891,2020-03-31,No,,1.24232,Very Good,32,Male,6.0,Two,9.0,9.0,No,No,1.0,Yes,Yes,Yes,Yes,Yes,9.0,Yes,No,No,Most are overreacting to the actual risks,Small changes,No,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,
891,892,2020-03-31,Yes,Yes,1.24232,Good,19,Male,4.0,One,0.0,,No,No,0.0,Yes,No,No,No,No,5.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,No,No,White,No,White,IVR,Caucasian,560.0,5.0,5.0,Democrat,,,3.0,,1.0,,,,,,,,,,1.0,2.0,1.0,ORANGE
892,893,2020-03-31,Yes,Yes,0.42698500000000006,Very Good,56,Female,4.0,One,6.0,6.0,Yes,No,4.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,Caucasian,517.0,1.0,5.0,Republican,2.0,2.0,4.0,1.0,2.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,ALEXANDER
893,894,2020-03-31,No,,0.948923,Good,88,Female,1.0,None,5.0,3.0,No,,,,Yes,,,,5.0,Yes,No,No,Most are reacting appropriately,Small changes,Yes,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,
894,895,2020-03-31,Yes,Yes,0.37561500000000003,Poor,60,Female,2.0,None,9.0,1.0,Unsure,,0.0,Yes,No,No,No,No,9.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,No,No,White,Yes,White,IVR,Caucasian,560.0,1.0,5.0,Republican,2.0,1.0,3.0,1.0,2.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,5.0,2.0,SAMPSON
895,896,2020-03-31,No,,0.803175,Good,77,Female,3.0,None,0.0,,No,,0.0,Yes,No,No,No,No,8.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,Yes,No,White,0,White,IVR,,,,,,,,,,,,,,,,,,,,,,,
897,898,2020-03-31,Yes,Yes,0.316205,Very Good,75,Male,2.0,None,1.0,1.0,No,,0.0,No,No,No,No,No,5.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,Caucasian,517.0,5.0,5.0,Democrat,5.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,1.0,4.0,1.0,1.0,5.0,3.0,1.0,1.0,4.0,IREDELL
898,899,2020-03-31,Yes,Yes,0.37561500000000003,Very Good,59,Female,2.0,None,4.0,2.0,Yes,,0.0,Yes,No,Yes,Yes,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,Caucasian,560.0,5.0,4.0,Democrat,3.0,2.0,4.0,2.0,4.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,5.0,3.0,1.0,2.0,1.0,HALIFAX
899,900,2020-03-31,Yes,Yes,1.05673,Good,53,Female,2.0,None,1.0,1.0,No,,0.0,Yes,Yes,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,No,White,No,White,IVR,Caucasian,560.0,3.0,5.0,Other / Unaffiliated,3.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,1.0,1.0,4.0,4.0,1.0,3.0,1.0,WAKE
900,901,2020-03-31,No,,0.285709,Very Good,66,Female,3.0,None,1.0,1.0,Yes,,0.0,Yes,,,,,4.0,Yes,No,No,Most are reacting appropriately,Small changes,No,No,Black,Yes,Black,IVR,,,,,,,,,,,,,,,,,,,,,,,
901,902,2020-03-31,No,,1.3666,Fair,51,Female,4.0,None,9.0,0.0,Yes,,0.0,Yes,Yes,Yes,No,No,6.0,Yes,No,3,Most are underestimating the risks,Large changes,Yes,No,Black,Yes,Black,IVR,,,,,,,,,,,,,,,,,,,,,,,
902,903,2020-03-31,Yes,Yes,0.251141,Good,67,Female,2.0,None,2.0,2.0,No,,1.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are underestimating the risks,Large changes,No,No,White,Yes,White,IVR,Caucasian,560.0,1.0,5.0,Republican,2.0,1.0,5.0,1.0,4.0,1.0,5.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,4.0,NASH
903,904,2020-03-31,Yes,Yes,1.57194,Very Good,57,Male,3.0,One,4.0,4.0,No,Yes,0.0,Yes,Yes,Yes,No,No,6.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,518.0,1.0,4.0,Republican,2.0,4.0,3.0,1.0,4.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,5.0,1.0,STOKES
904,905,2020-03-31,Yes,Yes,0.449553,Good,55,Male,4.0,Two,9.0,0.0,Yes,Yes,5.0,Yes,Yes,Yes,No,Yes,9.0,Yes,Unsure,Unsure,Most are overreacting to the actual risks,Small changes,No,No,White,Yes,White,IVR,Caucasian,545.0,1.0,5.0,Republican,2.0,3.0,2.0,1.0,2.0,1.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,4.0,2.0,5.0,1.0,CRAVEN
906,907,2020-03-31,Yes,Yes,0.5587449999999999,Very Good,47,Male,3.0,One,2.0,2.0,Yes,,0.0,Yes,No,No,No,Yes,9.0,Yes,No,No,Most are overreacting to the actual risks,Large changes,No,No,White,Yes,White,IVR,Caucasian,518.0,1.0,5.0,Other / Unaffiliated,2.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,5.0,1.0,ALAMANCE
907,908,2020-03-31,Yes,Yes,0.308732,Fair,67,Female,,None,1.0,0.0,No,,,,Yes,,,,5.0,Yes,No,No,Most are underestimating the risks,Large changes,No,No,Black,Yes,Black,IVR,Black,545.0,5.0,5.0,Democrat,3.0,2.0,4.0,2.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,3.0,CRAVEN
908,909,2020-03-31,Yes,Yes,1.57194,Poor,58,Male,2.0,None,9.0,5.0,Yes,,0.0,Yes,No,Yes,No,No,9.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,518.0,1.0,5.0,Republican,2.0,2.0,4.0,1.0,3.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,WILKES
909,910,2020-03-31,Yes,Yes,1.14188,Good,59,Female,2.0,None,9.0,5.0,Yes,,1.0,No,No,Yes,Yes,Yes,5.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,570.0,5.0,5.0,Democrat,3.0,3.0,3.0,2.0,2.0,4.0,5.0,3.0,2.0,3.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,ROBESON
910,911,2020-03-31,No,,0.845627,Good,84,Male,1.0,None,0.0,,No,,0.0,No,No,Yes,No,Yes,6.0,Yes,No,No,Most are underestimating the risks,No real changes,Yes,No,White,0,White,IVR,,,,,,,,,,,,,,,,,,,,,,,
911,912,2020-03-31,No,,0.37561500000000003,Very Good,50,Female,4.0,None,2.0,2.0,No,,0.0,Yes,No,No,No,No,9.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,
912,913,2020-03-31,Yes,Yes,0.5587449999999999,Good,56,Male,1.0,None,0.0,,No,,0.0,No,No,No,No,No,9.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,No,No,White,No,White,IVR,Caucasian,518.0,5.0,5.0,Democrat,,3.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,,,,,4.0,1.0,2.0,1.0,DAVIDSON
913,914,2020-03-31,No,,0.337294,Fair,86,Female,2.0,None,0.0,,No,,1.0,Yes,No,No,No,No,2.0,Yes,No,Unsure,Most are underestimating the risks,Unsure,No,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,
914,915,2020-03-31,No,,0.285488,Poor,99,Female,,Three or more,9.0,9.0,Yes,Yes,9.0,5,5,Yes,Yes,Yes,5.0,No,Yes,Yes,Most are underestimating the risks,Small changes,No,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,
915,916,2020-03-31,Yes,Yes,1.05673,Very Good,48,Female,2.0,None,1.0,1.0,No,,2.0,Yes,No,No,No,No,4.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,560.0,4.0,5.0,Democrat,3.0,4.0,2.0,2.0,4.0,2.0,4.0,1.0,3.0,3.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,CUMBERLAND
916,917,2020-03-31,Yes,Yes,0.504467,Very Good,56,Female,2.0,None,3.0,2.0,Yes,,0.0,Yes,Yes,,,Yes,7.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,No,White,IVR,Caucasian,518.0,1.0,5.0,Other / Unaffiliated,3.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,4.0,1.0,4.0,1.0,GUILFORD
917,918,2020-03-31,Yes,Yes,0.42731499999999994,Very Good,50,Female,2.0,None,2.0,2.0,No,,1.0,No,No,Yes,No,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,Another race,Yes,Another race,IVR,Caucasian,560.0,1.0,5.0,Republican,2.0,2.0,3.0,1.0,2.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,5.0,1.0,CUMBERLAND
919,920,2020-03-31,Yes,Yes,0.782567,Very Good,73,Male,2.0,None,0.0,,No,,0.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,560.0,5.0,5.0,Democrat,5.0,5.0,4.0,4.0,5.0,5.0,2.0,2.0,3.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,4.0,ORANGE
920,921,2020-03-31,No,,0.278163,Good,77,Male,2.0,None,9.0,9.0,No,,0.0,Yes,No,No,No,No,6.0,Yes,No,No,Most are underestimating the risks,Small changes,No,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,
921,922,2020-03-31,Yes,Yes,1.1704299999999999,Good,47,Male,4.0,One,2.0,1.0,Yes,No,0.0,Yes,No,No,No,No,6.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,560.0,5.0,5.0,Other / Unaffiliated,3.0,5.0,3.0,3.0,3.0,5.0,3.0,2.0,4.0,2.0,1.0,1.0,5.0,5.0,2.0,1.0,1.0,MOORE
923,924,2020-03-31,Yes,Yes,1.3666,Good,50,Female,2.0,None,3.0,1.0,Yes,,0.0,No,No,No,No,No,3.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,Yes,No,Black,Yes,Black,IVR,Black,517.0,5.0,5.0,Democrat,3.0,4.0,4.0,3.0,4.0,5.0,2.0,2.0,4.0,2.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,MECKLENBURG
924,925,2020-03-31,Yes,Yes,1.05673,Very Good,51,Female,4.0,Two,1.0,1.0,Yes,No,0.0,No,No,No,No,No,9.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,560.0,1.0,5.0,Republican,2.0,3.0,4.0,1.0,5.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,JOHNSTON
925,926,2020-03-31,Yes,Yes,1.14188,Good,55,Female,3.0,None,0.0,,Yes,,0.0,Yes,No,No,No,,8.0,Yes,No,Unsure,Most are underestimating the risks,Small changes,Yes,No,White,Yes,White,IVR,Caucasian,545.0,1.0,5.0,Other / Unaffiliated,2.0,2.0,3.0,1.0,3.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,ONSLOW
928,929,2020-03-31,Yes,Yes,0.42731499999999994,Very Good,48,Female,4.0,One,0.0,,Yes,,0.0,Yes,No,No,No,No,9.0,Yes,No,Unsure,Most are underestimating the risks,Small changes,No,No,Black,No,Black,IVR,Black,560.0,4.0,5.0,Other / Unaffiliated,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,1.0,1.0,5.0,3.0,1.0,2.0,1.0,CUMBERLAND
929,930,2020-03-31,Yes,Yes,1.57194,Very Good,57,Male,4.0,None,3.0,3.0,Yes,,0.0,Yes,Yes,No,No,No,8.0,Yes,No,No,Most are overreacting to the actual risks,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,518.0,1.0,5.0,Republican,1.0,1.0,4.0,1.0,5.0,1.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,DAVIE
930,931,2020-03-31,No,,0.373585,Poor,78,Male,5.0,Two,1.0,1.0,Yes,,1.0,Yes,Yes,Yes,Yes,Yes,8.0,Yes,No,Unsure,Most are underestimating the risks,Small changes,No,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,
931,932,2020-03-31,Yes,Yes,0.416029,Very Good,57,Male,4.0,None,4.0,4.0,Yes,,0.0,Yes,Yes,Yes,,,9.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,No,No,White,Yes,White,IVR,Caucasian,560.0,1.0,5.0,Other / Unaffiliated,3.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,5.0,1.0,CUMBERLAND
932,933,2020-03-31,No,,0.42731499999999994,Good,59,Female,1.0,None,0.0,,No,,0.0,No,No,No,No,No,1.0,Yes,No,No,Most are reacting appropriately,No real changes,No,No,Black,0,Black,IVR,,,,,,,,,,,,,,,,,,,,,,,
933,934,2020-03-31,Yes,Yes,0.473292,Very Good,57,Male,1.0,None,1.0,,,,,,Yes,,,,9.0,No,No,No,Most are overreacting to the actual risks,Small changes,No,Yes,,Yes,Hispanic or Latino,IVR,Caucasian,560.0,1.0,5.0,Republican,3.0,2.0,2.0,1.0,4.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,WAKE
934,935,2020-03-31,Yes,Yes,0.316205,Good,82,Male,1.0,None,1.0,1.0,Yes,,0.0,Yes,Yes,,No,Yes,9.0,Yes,Unsure,No,Most are underestimating the risks,Large changes,No,No,White,No,White,IVR,Caucasian,517.0,4.0,5.0,Democrat,3.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,CLEVELAND
935,936,2020-03-31,No,,1.14188,Good,63,Female,2.0,None,7.0,0.0,No,,0.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are overreacting to the actual risks,No real changes,Yes,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,
936,937,2020-03-31,No,,3.49506,Very Good,25,Male,8.0,None,4.0,4.0,No,,0.0,No,No,No,No,No,9.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,No,White,No,White,IVR,,,,,,,,,,,,,,,,,,,,,,,
937,938,2020-03-31,Yes,Yes,0.42731499999999994,Very Good,52,Female,3.0,One,4.0,4.0,No,Yes,,,,,,,9.0,Yes,No,Yes,Most are reacting appropriately,Small changes,No,No,Black,Yes,Black,IVR,Black,560.0,5.0,5.0,Democrat,3.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,5.0,4.0,1.0,1.0,1.0,HALIFAX
939,940,2020-03-31,No,,0.285709,Fair,78,Female,2.0,None,1.0,1.0,No,,,,,,,,5.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,Black,No,Black,IVR,,,,,,,,,,,,,,,,,,,,,,,
941,942,2020-03-31,Yes,Yes,1.57194,Very Good,52,Male,5.0,Two,4.0,3.0,Yes,No,0.0,Yes,No,No,No,Yes,6.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,518.0,1.0,5.0,Republican,3.0,2.0,4.0,1.0,4.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,DAVIDSON
942,943,2020-03-31,Yes,Yes,1.24232,Very Good,42,Male,3.0,One,9.0,9.0,No,,9.0,No,No,No,No,No,9.0,Yes,No,No,Most are underestimating the risks,Large changes,No,No,White,Yes,White,IVR,Caucasian,560.0,1.0,4.0,Republican,2.0,1.0,3.0,1.0,3.0,1.0,5.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,WAYNE
944,945,2020-03-31,Yes,Yes,4.694030000000001,Good,43,Male,4.0,Two,4.0,0.0,4,No,0.0,Yes,No,Yes,No,No,9.0,Yes,No,Unsure,Most are overreacting to the actual risks,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,518.0,1.0,5.0,Republican,2.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,5.0,1.0,MONTGOMERY
945,946,2020-03-31,Yes,Yes,0.449553,Fair,54,Male,3.0,None,6.0,5.0,No,,0.0,5,No,3,,,9.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,No,No,White,No,White,IVR,Caucasian,545.0,3.0,5.0,Other / Unaffiliated,4.0,2.0,5.0,1.0,2.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,TYRRELL
947,948,2020-03-31,Yes,Yes,0.803175,Fair,68,Female,2.0,None,1.0,1.0,No,,1.0,Yes,Yes,9,9,9,9.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,517.0,5.0,5.0,Democrat,3.0,5.0,2.0,3.0,4.0,5.0,2.0,2.0,4.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,3.0,MECKLENBURG
